id,name,type,calculatedCourse,routeName,created,longitude,latitude,speed,paxLoad,totalCap,outOfService,more,tripId,deviceId,outdated,routeBlockId,timestamp
13213,4037,,103.95556673750269,REXB Route,01:32 PM,-74.437388000,40.483131500,,17,67,0,101,,422700,0,112510,2024-10-24 13:32:20
13216,4040,,101.86186978287685,B Route,01:32 PM,-74.441787100,40.523123100,,51,67,0,102,,422708,0,113245,2024-10-24 13:32:20
13209,4033,,299.2043953313429,B-He Route,01:32 PM,-74.440155100,40.522258600,,27,67,0,102,,422712,0,111329,2024-10-24 13:32:20
13217,4041,,60.13164826449656,B Route,01:32 PM,-74.460454000,40.525182100,,24,67,0,102,,422714,0,113246,2024-10-24 13:32:20
4862,4180,Transit Bus,277.7218258150603,B Route,01:32 PM,-74.436502000,40.523826500,,65,67,0,101,,428735,0,113250,2024-10-24 13:32:20
15186,0127,,43.60204435826222,B Route,01:32 PM,-74.439401500,40.524384400,,9,67,0,102,,429476,0,113249,2024-10-24 13:32:20
15188,0129,,247.6750690870926,C Route,01:32 PM,-74.464934200,40.523722100,,5,67,0,102,,429478,0,5450,2024-10-24 13:32:20
15189,0130,,48.64007281225338,F Route,01:30 PM,-74.437498600,40.489489000,,2,67,0,102,,429482,0,117894,2024-10-24 13:32:20
15187,0128,,165.59979162667184,EE Route,01:32 PM,-74.439566500,40.494999200,,34,67,0,102,,429484,0,111601,2024-10-24 13:32:20
4855,4131,Transit Bus,230.1555843166072,A Route,01:32 PM,-74.459069100,40.519247100,,17,67,0,102,,402213,0,111528,2024-10-24 13:32:51
4856,4132,Transit Bus,72.2361641044759,EE Route,01:32 PM,-74.446403100,40.499507000,,30,67,0,101,,402215,0,111579,2024-10-24 13:32:51
4859,4177,Transit Bus,51.340191746296284,LX Route,01:32 PM,-74.435561000,40.523816600,,38,67,0,101,,402325,0,111417,2024-10-24 13:32:51
4873,4191,Transit Bus,72.79291283895145,H Route,01:32 PM,-74.445833300,40.499640300,,27,67,0,101,,402329,0,111639,2024-10-24 13:32:51
4876,4194,Transit Bus,240.3186642495695,F Route,01:32 PM,-74.453232500,40.505556800,,27,67,0,101,,402330,0,117891,2024-10-24 13:32:51
17624,4002,Heavy Duty Transit LF,343.30075581082593,REXB Route,01:32 PM,-74.465252000,40.523598500,,26,68,0,101,,402643,0,112511,2024-10-24 13:32:51
4863,4181,Transit Bus,295.2120193714862,LX Route,01:32 PM,-74.443458300,40.523723500,,36,67,0,102,,402645,0,111422,2024-10-24 13:32:51
4853,4129,Transit Bus,70.34617588668277,LX Route,01:32 PM,-74.445443500,40.499747000,,39,67,0,101,,402646,0,111416,2024-10-24 13:32:51
4877,4195,Transit Bus,224.8565873676287,REXL Route,01:32 PM,-74.438397800,40.483952100,,24,67,0,102,,402647,0,111678,2024-10-24 13:32:51
4874,4192,Transit Bus,101.73944417233787,LX Route,01:32 PM,-74.442635300,40.523444000,,59,67,0,102,,402698,0,111418,2024-10-24 13:32:51
4870,4188,Transit Bus,134.58433706018945,A Route,01:32 PM,-74.450637800,40.501931800,,34,67,0,102,,402699,0,111530,2024-10-24 13:32:51
4891,4209,Transit Bus,117.74549786085885,REXL Route,01:32 PM,-74.436567600,40.524644100,,19,67,0,102,,402707,0,111679,2024-10-24 13:32:51
4895,4212,Transit Bus,298.659850660712,H Route,01:32 PM,-74.450416100,40.504698800,,19,67,0,102,,402708,0,111640,2024-10-24 13:32:51
4893,4211,Transit Bus,160.9182598592556,REXL Route,01:32 PM,-74.458821500,40.508791000,,27,67,0,102,,402720,0,111676,2024-10-24 13:32:51
4881,4199,Transit Bus,340.7449727169781,A Route,01:32 PM,-74.461605600,40.518848100,,35,67,0,102,,402723,0,111529,2024-10-24 13:32:51
4886,4204,Transit Bus,124.26101787342043,B Route,01:32 PM,-74.458819000,40.524355100,,34,67,0,102,,402727,0,113248,2024-10-24 13:32:51
4885,4203,Transit Bus,156.19405643879713,B Route,01:32 PM,-74.438507600,40.525184500,,27,67,0,101,,402729,0,113245,2024-10-24 13:32:51
4882,4200,Transit Bus,168.02623098613935,EE Route,01:32 PM,-74.439440600,40.494329500,,19,67,0,102,,402733,0,111581,2024-10-24 13:32:51
4872,4190,Transit Bus,38.09747648414054,B Route,01:32 PM,-74.465300500,40.523446300,,46,67,0,101,,402741,0,113278,2024-10-24 13:32:51
7181,0205,Transit Bus,267.3433268510999,F Route,01:32 PM,-74.447967600,40.503589300,,65,75,0,101,,405378,0,117893,2024-10-24 13:32:51
7179,0201,Transit Bus,135.423692158442,F Route,01:32 PM,-74.438998800,40.486328600,,30,67,0,102,,405380,0,117892,2024-10-24 13:32:51
4851,4128,Transit Bus,322.37216305434504,EE Route,01:32 PM,-74.430551600,40.482731500,,23,67,0,102,,405382,0,111602,2024-10-24 13:32:51
7151,0202,Transit Bus,291.9011235829274,EE Route,01:32 PM,-74.448303300,40.503625000,,30,75,0,101,,405404,0,111578,2024-10-24 13:32:51
7180,0204,Transit Bus,23.123221204921037,A Route,01:32 PM,-74.463941600,40.524440800,,53,67,0,102,,406275,0,111531,2024-10-24 13:32:51
4840,1004,Transit Bus,132.63415058491364,LX Route,01:32 PM,-74.448574300,40.499952300,,24,69,0,101,,411187,0,111413,2024-10-24 13:32:51
4843,1012,Transit Bus,121.38650889092867,LX Route,01:32 PM,-74.451598300,40.525105300,,55,71,0,102,,411189,0,111421,2024-10-24 13:32:51
9418,4125,,282.34072869706074,H Route,01:32 PM,-74.456519800,40.517686600,,15,57,0,102,,415102,0,111641,2024-10-24 13:32:51
9419,4050,,152.83610136294442,REXL Route,01:32 PM,-74.436511000,40.524028000,,2,67,0,102,,415104,0,111680,2024-10-24 13:32:51
9421,4052,,182.40736404582762,EE Route,01:32 PM,-74.436450600,40.481079800,,31,67,0,101,,415105,0,111582,2024-10-24 13:32:51
17625,4003,Heavy Duty Transit LF,299.31323022782595,REXL Route,01:32 PM,-74.440158800,40.522285500,,80,80,0,102,,417553,0,111677,2024-10-24 13:32:51
11195,3260,,175.9049965386008,LX Route,01:32 PM,-74.432700100,40.521563300,,29,30,0,102,,417554,0,111417,2024-10-24 13:32:51
17626,4004,Heavy Duty Transit LF,46.41742688423335,REXB Route,01:32 PM,-74.437277100,40.484905100,,68,68,0,101,,417555,0,112512,2024-10-24 13:32:51
11204,4910,Shuttle Bus,150.04030213828952,B-He Route,01:32 PM,-74.458036300,40.523550800,,0,30,0,101,,417557,0,112747,2024-10-24 13:32:51
11194,3255,Shuttle Bus,236.02610071579534,A Route,01:32 PM,-74.459789500,40.518825800,,10,30,0,102,,417559,0,111532,2024-10-24 13:32:51
13211,4035,,134.63042026196422,LX Route,01:32 PM,-74.448948100,40.500260600,,71,75,0,102,,422692,0,111411,2024-10-24 13:32:51
13210,4034,,105.94539589205976,EE Route,01:32 PM,-74.437621100,40.485734800,,40,67,0,101,,422694,0,111580,2024-10-24 13:32:51
13214,4038,,59.253337683189045,H Route,01:32 PM,-74.453544500,40.517381300,,25,67,0,102,,422698,0,111638,2024-10-24 13:32:51
13213,4037,,342.39881864206626,REXB Route,01:32 PM,-74.437392600,40.483146000,,21,67,0,101,,422700,0,112510,2024-10-24 13:32:51
13216,4040,,54.60078773659865,B Route,01:32 PM,-74.440609300,40.523056500,,51,67,0,102,,422708,0,113245,2024-10-24 13:32:51
13209,4033,,293.3674475757957,B-He Route,01:32 PM,-74.442313800,40.523418800,,27,67,0,102,,422712,0,111329,2024-10-24 13:32:51
13217,4041,,115.20491722975345,B Route,01:32 PM,-74.459075600,40.524637100,,24,67,0,101,,422714,0,113246,2024-10-24 13:32:51
4862,4180,Transit Bus,104.03624346792651,B Route,01:32 PM,-74.436489600,40.523827000,,65,67,0,101,,428735,0,113250,2024-10-24 13:32:51
